부스번호,업체명,특별관,카테고리,id,company_name_eng,homepage,company_description,products,products_description,category
B5110,맘스맘에프엔비,,일반식품,605,momsmomfnb,https://smartstore.naver.com/momsmomfnb,"눈물 쏙빼며 먹던 매운 닭발을 우아하게 즐길 방법은 없을까? 
다양한 레시피로 닭발을 소개하고 싶었습니다. 닭발 러버의 깊은 고민 끝에 탄생한 평산댁에서 
닭발큐브와 닭발슬라이스 그리고 오리지널 무뼈닭발을 소개합니다. 
참숯불의 불맛과 닭발 고유의 식감은 살리고, 눈이 즐거운 디자인으로 감성적인 당신의 푸드 라이프에 가까이 다가갑니다. ",평산댁 참숯불 <닭발큐브> ,"눈물 쏙빼며 먹던 매운 닭발을 우아하게 즐길 방법은 없을까? 
다양한 레시피로 닭발을 소개하고 싶었습니다. 닭발 러버의 깊은 고민 끝에 탄생한 평산댁에서 
닭발큐브와 닭발슬라이스 그리고 오리지널 무뼈닭발을 소개합니다. 
참숯불의 불맛과 닭발 고유의 식감은 살리고, 눈이 즐거운 디자인으로 감성적인 당신의 푸드 라이프에 가까이 다가갑니다. 
숯불닭발의 맛은 그대로 먹기 좋은 컴팩트한 사이즈로 즐겨보세요","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
A5506,주식회사한결엘에스,,일반식품,604, Hangyulls,https://smartstore.naver.com/foodlabplus/profile,"(주)한결엘에스는 수입 소고기 수입/유통/판매를 하는 회사로 1995년에 설립하여 올해 29년을 맞이한 강소 기업입니다.
주로 대형마트 (홈플러스.코스트코,롯데마트,이마트 등)에 소고기를 공급하던 업무를 그간 진행해왔으며 그 중에서도 홈플러스에 소고기를 공급하는 업을 메인으로 하는 주요협력사이기도 합니다. 
최근에는 시대가 급 변함에 따라 2019년부터 당사의 온라인비즈니스 브랜드인 ""푸드랩플러스""를 만들어 온라인 분야에서 영업활동을 하고 있습니다.  그 결과 카카오선물하기,쿠팡 로켓프레쉬, SSG 새벽배송과 컬리 입점등의 성과를 거둬 온라인 사업의 매출규모를 연간 450억원 수준까지 올리는 성과를 만들어가고 있습니다.",다를별 갈비탕,"‘다를별갈비탕’은 한국의 맛과 멋을 지키는 식품전문기업 (주)진한식품에 의뢰하여 만들었으며, 자사가 직접 직수입하여 엄선된 원료를 사용하여 만든 가성비 좋은 즉석 갈비탕입니다. 실온 보관이 가능하며, 1인분의 소포장으로 보관에 용이합니다. 대중적으로 담백한 맛으로 간편하게 조리하여 부담 없이 즐길 수 있는 상품입니다.","간편식품 (HMR/RMR, 밀키트, 즉석식품, 레토르트 외)"
S1102,안동소주일품(주),주류라운지,일반식품,603,AndongSoju Ilpoom,https://ilpoomsoju.com/,"전통 증류식 프리미엄 쌀 소주.
안동소주는 100% 국내산 쌀과 안동 지역의 깨끗한 지하 암반수로 빚은 소주입니다. 
은은한 쌀 향과 부드럽고 부드러운 끝 맛이 특징입니다.
알코올 도수가 다양해 독한 술은 물론 순한 맛을 선호하는 젊은 세대도 부담 없이 즐길 수 있습니다.",프리미엄 전통주 안동소주일품 ,"일품 시그니처 유리병(17도, 21도, 25도, 40도)
일품 소주병은 대중화를 위해 가격을 낮추기 위한 노력의 일환으로, 소비자들이 익숙한 디자인으로 출시되었습니다. 
안동소주는 독한 술이라는 인식을 줄이기 위해 다양한 도수로 출시되어, 부드러운 맛을 선호하는 젊은 세대까지 부담 없이 즐길 수 있습니다.","주류 (전통주, 맥주, 포도주, 위스키, 칵테일, RTD, 저/무알콜 외)"
B2304,(주)에스락,스마트홈키친,일반식품,602,"s-lock co., ltd",www.slock.kr,"안녕하세요 간단한 산소 배출과 더 편리한 잠금기술로 신선한 주방을 연구하는 에스락 입니다.
저희는 '회전식 잠금구조'와 '높이조절 핸들'로 더 쉽고 간편한 밀폐용기를 개발하고 있습니다.
에스락 프리미엄 진공밀폐용기는 쉽고 편리한 사용으로 공기를 완벽하고 강력하게 제거하고 차단하며, 강력한 밀폐력은 신선함을 더 오래 유지하고 음식 본연의 맛과 향을 즐길 수 있도록 합니다.",에스락 프리미엄 진공밀폐용기,"디자인+진공+편리함을 더한 프리미엄 진공밀폐용기
맛과 신선함을 유지하면서, 더 쉽게 더 완벽하게 더 아름답게 보관하는 에스락 프리미엄 진공밀폐용기
40도 간편한 회전으로 원두, 사료, 견과류, 찻잎, 시리얼, 파스타, 곡물 등 다양한 싲재료 보관에 탁월합니다!","가정용 주방용품 (가정용 냄비/프라이팬, 조리도구류, 주방잡화, 주방 수납용품 외) "
B2209,(주)센스락,스마트홈키친,일반식품,599,SENSELOCK,senselock.co.kr,"(주)센스락은 가정용 진공포장기 전문 제조 기업입니다.'센스있게 센스락 하세요~'라는 슬로건으로 홈쇼핑과 오프라인에서 우수한 품질과 성능의 가정용 진공포장기를 판매해 고객만족도를 꾸준히 높여 온 결과 23년고객만족 브랜드대상,24년 대한민국리빙브랜드,브랜드만족도1위,소비자만족지수1위, 25년도 우수브랜드대상까지 수상했습니다.2023년 5월 sk스토아,kt알파,24년 gs홈쇼핑, 롯데홈쇼핑을 런칭했으며, 100%국내생산, 높은안전성,신속한A/S와 세련된 디자인으로 소비자에게 꾸준히 사랑받는 이유입니다.모든분들이 센스있게 센스락 가정용 진공포장기를 사용할 수 있도록 최선을 다해 좋은 제품을 만들고 사랑받는 기업으로 발전 해 나가도록 노력하겠습니다.",센스락 진공포장기,"진공, 반진공, 밀봉이 가능하며 공기, 냄새, 습기, 해충을 차단해 식재료를 신선하게 오래 보관할 수 있으며, 100% 국내 생산, 높은 안전성, 신속한 A/S, 세련된 디자인도 센스락 가정용 진공포장기가 소비자에게 꾸준히 사랑받는 이유이며, 진공팩 또한 다층구조로 내구성이 높아 우수한 진공력을 자랑합니다.","가정용 일반 주방가전  (가정용 믹서기, 멀티포트, 커피머신, 간식메이커, 전동 그라인더 외)"
A2504,주식회사 싱싱캔,,일반식품,598,"Singsingcan Co.,Ltd",http://www.singsingcan.com/,"포장재 사업으로 시작한 싱싱캔은 “범호상사”라는 사명으로 포장관련 시장에 뛰어들어 끊임없는 연구개발을 통해
식품 포장용기 전문 기업으로 사업규모를 확장하여 국내를 비롯, 해외시장까지 진출해 나가고 있습니다.

이러한 싱싱캔의 발전은 하루아침에 이루어지지 않습니다.
과거 식품회사에서 필요한 플라스틱 용기를 납품하며 기업에서 제품을 밀봉할 시밍기계가 필요하다는 사실을 분석하여 중국 기계를 수입, 연결해주는 업무를 병행하였는데
문제는 중국의 시밍기계(캔 시머/밀봉기계)가 성능이 우수하지 못해 싱싱캔에서 납품한 용기의 시밍에 불량이 발생하여 많은 리스크가 생겨나기 시작하였습니다.
이로 인해 주요 거래처가 공급계약을 해지하는 일이 발생하여 이 부분을 직접 해결하고 고객사에 보다 우수한 제품을 납품하기 위해 직접 캔 시머를 개발하게 되었습니다.

단순히 우리 용기를 시밍에 잘 되게끔 하기 위해 기계를 잘 만들었을 뿐인데 기계의 성능이 좋다는 평가를 얻게 되어 넓은 고객을 확보하고 고객의 관심에 힘입어
현재는 지속적인 연구개발을 통하여 멤브레인 필터를 접목시킨 발효식품 포장용기 산업에도 진출하였습니다.
안전하고 고객의 입장에서 먼저 생각하는 싱싱캔의 노력은 계속되고 있으며 알루미늄 음료 캔을 비롯하여 음료용 투명캔, 음료전용 캔 머신을 자체기술로 생산하고
발효식품 포장용기 분야에서도 우리의 기술력을 인정받아 세계김치연구소와 공동연구 활동을 이어가고 있습니다.

오늘도 끊임없이 연구개발하고 보다 완벽한 품질과 새로운 기술에 도전하는 기업,
싱싱캔이라는 이름에 대한 책임, 그것이 우리가 지켜야 할 고객과의 약속입니다.",싱싱캔,식품포장기계 및 용기,"상업용 주방용품/도구류 (상업용 조리도구류 전반, 포장재/용기, 위생용품, 안전관리용품 외 )"
A1103,주식회사 더휴베이스,,일반식품,597,THEHUBASE CO.,www.truetasty.co.kr,'김하진의 참맛있는맛' 브랜드는 5대 미각 중 하나인 감칠 맛 전문 브랜드입니다. 김하진 궁중요리이수자가 직접 레시피와 재료를 선별하여 누구나 쉽게 맛있는 집밥이 가능한 여러분의 친구같은 감칠 맛을 선보입니다. ,김하진의 참 맛있는 The 진한 참치액,"중요무형문화재 제38호 조선왕조궁중음식 이수자 김하진이 직접 개발한 상품
- 집밥을 수라상처럼 만드는 비법으로 공정은 정성스럽게 사용은 간편하도록 만든 천연 조미료입니다.
▣ 주재료인 참치(웹빙시태 최고급 어종) 농축액부터 다릅니다.
- 훈연방식(가쓰오부시)가 아닌 자숙 방식으로 추출한 고농축 참치액만을 사용함
(일명 가쓰오조미액, 가쓰오부시, 훈연참치추출액은 가다랑어류의 참치를 훈연하여 포로 만든 후, 그 포를 삶은 액체로서 훈연 특유의 맛과 향이 강해 어떤 요리에 넣어도 훈연 특유의 맛과 향만 남게 되어 호불호가 강하게 생길 수 있음 김하진의 The 진한참치 프리미엄은 1M 내외(황다랑어, 가다랑어) 참치를 큰 찜기에 넣고 쩌내는 방식으로 그 진액을 정제 및 농축 생산하여 참치 본연의 성분이 그대로 함유되어 있으며 영양분 및 맛이 더 뛰어나고 훈연하지 않아 가향이 되지 않기에 요리 본연의 맛을 해치지 않음)
  
III
▣ 국내산 부재료부터 다릅니다.
-국내산 영지버섯 추출액, 표고버섯, 감초, 사양벌꿀, 국내산, 무 다시마, 양파로 만든 다시 추출액을 배합하여 깊은 감칠맛을 풍부하게 높여줍니다.
▣ 4無를 고집합니다
- 無설탕, 無MSG, 無색소, 無방부제
  IV
▣ 모든 요리에 어울리는 만능 레시피
- 국, 찌개, 볶음, 나물, 찜 등 다양한 요리에서 감칠맛으로 요리를 완성해줍니다.
감칠맛납니다 (국물 요리뿐 아니라 다양한 무침 요리에도 더해지는 감칠맛!)
깔끔합니다 (생선 조림 시 잡내를 잡아 비린내를 없애주면서 깔끔한 맛 완성)
간편합니다 (국물 및 무침 요리에 간을 맞출 때 다른 조미료 필요 없이 참치액 하나로!)
훈연향이 없어, 맑은 (차가운) 물에 섞기만 해도, 고급스러운 냉육수 탄생 (미역냉국, 메밀국수, 김치국수 등)","조미식품 (향신료, 분말/팩, 양념/소스, 페이스트, 오일, 식초 외)"
B4415,(주)원제로소프트,고메,일반식품,593,"OneZeroSoft Co., Ltd.",https://smartstore.naver.com/erpia,"마카다미아의 씨앗 부분에 해당하는 마카다미아너트는 수천 년간 호주 원주민들의 주요 식량 자원으로 풍부한 영양소와 맛이 주목 받으면서 다양한 국가에서 재배되고 있습니다. 
최고의 품질, 친환경, 지속성이라는 확고한 경영방침과 신념을 갖고 프리미엄 견과류로 국내 시장에 나아가고 있습니다. 
깨끗한 환경을 자랑하는 호주 청정 자연의 신선함을 그대로 담아 판매 합니다. ",마카다미아,호주 수입 견과류 (마카다미아),"간식/스낵류 (과자류, 칩, 견과류, 캔디류, 전통간식, 건조간식, 안주류 외)"
A2002,대호수산(주),,일반식품,590,"DAEHO FISHERIES CO.,LTD",www.daehosusan.co.kr,"대호수산(주)은 1996년 창립 이래 붉은대게를 원료로 사용하여 게살과 게장, 게엑기스 제품 등 붉은대게 관련제품을 위생적으로 가공하여 일본으로의 수출과 국내 공급을 해오고 있습니다. 

연간 평균 300만불 의 수출 실적을 올리며 세계적으로 품질을 인정받고 있으며, 붉은 대게의 내장을 활용하여 농축·제품화 함으로써 특허등록을 하는 등 신제품 개발에도 힘쓰고 있습니다.

또한 2012년 HACCP 적용업소지정 등 식품 위생과 안전에도 더욱 힘쓰고 있으며, 2015년에는 고용활동에도 힘써 경상북도 일자리 창출, 우수기업 선정, 경북고용증진 대상도 수상하였습니다. 또한, 2020년에는 영덕군 최초로 가족친화인증기업으로 선정되어 직원복지에도 앞장서고 있습니다. ","붉은대게다리살 통조림, 영덕붉은대게장(신선), 냉동붉은대게살(자숙) 외","국내산 동해안 붉은대게를 원료로 하여, 30년간의 제조경험을 통해 다양한 붉은대게 관련 제품을 만들어 국내외로 판매하고 있습니다.
얼리지 않은 붉은대게 다리살을 통채로 넣은 통조림 제품, 붉은대게의 녹진한 맛을 그대로 담은 게장 제품, 오랜기간의 베스트셀러인 냉동붉은대게살(자숙)까지
소비자의 니즈에 맞는 제품을 정성껏 생산하고 있습니다. 또한 HACCP, ISO22000, FSSC22000, K-FISH 등의 품질인증과 영덕군 내 최초 가족친화인증기업으로 선정되어
많은 부분에서 노력하고 있습니다. ","일반 가공식품 (캔/통조림, 가공육, 냉장/냉동식품, 건조식품 외)"
B2201,농업회사법인 주식회사 고담촌,,일반식품,585,GODAMCHON,https://honggang.co.kr/,"고담촌 홍강은 생강만을 연구하는 생강 전문기업으로, 2019년 설립 이후 생강을 찌고 말려 만든 고품질 우너물 브랜드 '홍강'을 기반으로 다양한 제품 라인업을 생산 및 판매하고 있습니다. 당사의 특허 기술은 찌기, 건조, 달임의 전통 방식을 활용하며, 시간과 온도를 조절하여 제품의 맛과 품질 및 효능을 차별성 있게 향상시킵니다. 이러한 방식 덕분에 원물의 품질과 맛에 구애받지 않고 일정한 품질과 맛을 보장할 수 있습니다.
'홍강'은 생강의 쓴맛과 자극적인 맛을 줄여 부드럽고 순한 맛으로 소비자들에게 프리미엄 생강 제품으로 인정받고 있으며, 탁월한 소비자 경험을 제공하고 있습니다. '홍강'으로 만든 제품은 생강청, 티백, 원물차, 가루 등 다양한 형태로 제공되며, 앞으로도 새로운 제품을 개발하여 시장에 선보일 예정입니다.","프리미엄 생강차, 홍강차 (100g)","인삼을 찌고 말리면 홍삼이 되듯, 생강을 찌고 말려 만든 프리미엄 '홍강' 원물차는 생강의 쓴맛과 자극적인 매운맛 없이 부드럽고 구수한 맛으로 즐길 수 있습니다. 식수 대신 혹은 식후차로 깔끔하게 마시면서 일상의 건강을 책임져줄 색다른 건강함과 풍미가 가득한 생강창비니다. 홍강차는 원물 특성상 차로 잘 우러나지 않는 생강의 한계를 극복하여, 찬물과 뜨거운 물 모두에서 유효 성분이 그대로, 완전히 우러나는 제대로 된 생강원물차입니다.","건강식품 (건강기능식품, 웰빙식품, 비건, 다이어트/이너뷰티 외)"
